2013-12-20 18:37:55,672 ActionColumnSelectedFirstKeyboard|Column8
2013-12-20 18:37:57,537 ActionRightSelectedFirstKeyboard|Key : Right
2013-12-20 18:37:57,825 ActionRightSelectedFirstKeyboard|Key : Right
2013-12-20 18:37:58,112 ActionRightSelectedFirstKeyboard|Key : Right
2013-12-20 18:38:00,656 ActionColumnSelectedFirstKeyboard|Column2
2013-12-20 18:38:00,865 ActionSpaceSelectedFirstKeyboard|Key : Space
2013-12-20 18:38:06,464 ActionColumnSelectedFirstKeyboard|Column7
2013-12-20 18:38:07,401 ActionKeySelectedFirstKeyboard|Key : C
2013-12-20 18:38:09,296 ActionColumnSelectedFirstKeyboard|Column3
2013-12-20 18:38:09,521 ActionKeySelectedFirstKeyboard|Key : E
2013-12-20 18:38:11,552 ActionColumnSelectedFirstKeyboard|Column3
2013-12-20 18:38:13,161 ActionKeySelectedFirstKeyboard|Key : G
2013-12-20 18:38:14,943 ActionColumnSelectedFirstKeyboard|Column3
2013-12-20 18:38:15,968 ActionKeySelectedFirstKeyboard|Key : O
2013-12-20 18:38:19,864 ActionColumnSelectedFirstKeyboard|Column8
2013-12-20 18:38:20,465 ActionKeySelectedFirstKeyboard|Key : N
2013-12-20 18:38:27,120 ActionColumnSelectedFirstKeyboard|Column2
2013-12-20 18:38:28,512 ActionKeySelectedFirstKeyboard|Key : H
2013-12-20 18:38:31,200 ActionColumnSelectedFirstKeyboard|Column5
2013-12-20 18:38:31,568 ActionKeySelectedFirstKeyboard|Key : A
2013-12-20 18:38:33,824 ActionColumnSelectedFirstKeyboard|Column4
2013-12-20 18:38:34,065 ActionKeySelectedFirstKeyboard|Key : S
2013-12-20 18:38:38,384 ActionColumnSelectedFirstKeyboard|Column8
2013-12-20 18:38:39,281 ActionKeySelectedFirstKeyboard|Key : F
2013-12-20 18:38:41,128 ActionColumnSelectedFirstKeyboard|Column3
2013-12-20 18:38:41,505 ActionKeySelectedFirstKeyboard|Key : E
2013-12-20 18:38:42,856 ActionColumnSelectedFirstKeyboard|Column2
2013-12-20 18:38:43,809 ActionKeySelectedFirstKeyboard|Key : L
2013-12-20 18:38:47,320 ActionColumnSelectedFirstKeyboard|Column7
2013-12-20 18:38:47,560 ActionKeySelectedFirstKeyboard|Key : I
2013-12-20 18:38:50,911 ActionColumnSelectedFirstKeyboard|Column6
2013-12-20 18:38:52,241 ActionKeySelectedFirstKeyboard|Key : Z
2013-12-20 18:38:53,944 ActionColumnSelectedFirstKeyboard|Column3
2013-12-20 18:38:54,329 ActionKeySelectedFirstKeyboard|Key : E
2013-12-20 18:38:56,648 ActionColumnSelectedFirstKeyboard|Column4
2013-12-20 18:38:56,953 ActionKeySelectedFirstKeyboard|Key : S
